datetime,temperature,year,month,day,hour
2025-02-25 03:00:00,1.0,2025,2,25,3
2025-02-25 06:00:00,-0.9,2025,2,25,6
2025-02-25 09:00:00,5.1,2025,2,25,9
2025-02-25 12:00:00,8.7,2025,2,25,12
2025-02-25 15:00:00,8.3,2025,2,25,15
2025-02-25 18:00:00,0.1,2025,2,25,18
2025-02-25 21:00:00,-2.4,2025,2,25,21
2025-02-26 00:00:00,-4.3,2025,2,26,0
2025-02-26 03:00:00,-4.3,2025,2,26,3
2025-02-26 06:00:00,-4.2,2025,2,26,6
2025-02-26 09:00:00,6.7,2025,2,26,9
2025-02-26 12:00:00,10.4,2025,2,26,12
2025-02-26 15:00:00,10.8,2025,2,26,15
2025-02-26 18:00:00,1.0,2025,2,26,18
2025-02-26 21:00:00,2.1,2025,2,26,21
2025-02-27 00:00:00,1.2,2025,2,27,0
2025-02-27 03:00:00,-2.3,2025,2,27,3
2025-02-27 06:00:00,-1.3,2025,2,27,6
2025-02-27 09:00:00,6.7,2025,2,27,9
2025-02-27 12:00:00,10.4,2025,2,27,12
2025-02-27 15:00:00,9.0,2025,2,27,15
2025-02-27 18:00:00,5.9,2025,2,27,18
2025-02-27 21:00:00,3.5,2025,2,27,21
2025-02-28 00:00:00,2.3,2025,2,28,0
2025-02-28 03:00:00,2.3,2025,2,28,3
2025-02-28 06:00:00,2.3,2025,2,28,6
2025-02-28 09:00:00,2.7,2025,2,28,9
2025-02-28 12:00:00,4.1,2025,2,28,12
2025-02-28 15:00:00,4.2,2025,2,28,15
2025-02-28 18:00:00,3.9,2025,2,28,18
2025-02-28 21:00:00,2.6,2025,2,28,21
2025-03-01 00:00:00,-1.5,2025,3,1,0
2025-03-01 03:00:00,-2.0,2025,3,1,3
2025-03-01 06:00:00,-0.9,2025,3,1,6
2025-03-01 09:00:00,3.4,2025,3,1,9
2025-03-01 12:00:00,6.6,2025,3,1,12
2025-03-01 15:00:00,4.4,2025,3,1,15
2025-03-01 18:00:00,1.7,2025,3,1,18
2025-03-01 21:00:00,1.2,2025,3,1,21
2025-03-02 00:00:00,0.5,2025,3,2,0
2025-03-02 03:00:00,0.1,2025,3,2,3
2025-03-02 06:00:00,0.1,2025,3,2,6
2025-03-02 09:00:00,0.8,2025,3,2,9
2025-03-02 12:00:00,1.2,2025,3,2,12
2025-03-02 15:00:00,1.2,2025,3,2,15
2025-03-02 18:00:00,0.0,2025,3,2,18
2025-03-02 21:00:00,-0.5,2025,3,2,21
2025-03-03 00:00:00,-0.6,2025,3,3,0
2025-03-03 03:00:00,-0.3,2025,3,3,3
2025-03-03 06:00:00,0.2,2025,3,3,6
